1 | oke banget , tetapi ac nya tidak bisa diatur suhu nya . | (ac nya, tidak bisa diatur, negative)
2 | lokasi strategis harga terjangkau bangunan lama memang , tetapi dengan harga yang terjangkau dan lokasi tengah kota sangat worthy dan sudah 3x ini menginap di sini wifi kencang dapat sarapan pula , menu homey tetapi tasty keamanan 24jam ramahramah overall bagus . | (lokasi, strategis, positive); (harga, terjangkau, positive); (harga, terjangkau, positive); (wifi, kencang, positive); (sarapan, dapat, positive); (menu, homey, neutral); (menu, tasty, positive); (overall, bagus, positive)
3 | begitu masuk pertama , kesan yang diterima adalah jorok . mohon maaf , ada kotoran ( eek ) masih melekat di bibir kloset . seperti tidak dibersihkan . kemudian semakin malam , banyak kecoak bermunculan , awalnya saya baca review dari app tetangga yang bilang banyak kecoak , saya tidak percaya . tetapi begitu mengalami sendiri , sangat horor , tidur jadi tidak nyenyak . | (bibir kloset, ada kotoran, negative)
4 | lumayan bersih tetapi lantainya tidak rata karena kurang semen di bawah nya , jadi menyebabkan pecah " . | (lantainya, tidak rata, negative)
5 | lokasi sangat dekat dengan jembatan amperantapi sayangnya sedikit masuk ke dalam lorong , tetapi recommended buat yang backpacker an . | 
6 | cukup bagus . cuma banyak nyamuk beterbangan . | 
7 | lumayan , yang kurang cuma chanel tv , snack , sama alat mandi nya saja . selebihnya bagus . | (chanel tv, kurang, negative); (snack, kurang, negative); (alat mandi nya, kurang, negative); (selebihnya, bagus, positive)
8 | desainnya suka bali banget , makanan murah tetapi lumayan lama sampainya , dan wc nya agak seram sih dan kotor juga wc nya pasir di mana - mana . posisi nyaman sih tetapi hotelnya buat santaisantai di kursi depan . | (desainnya, suka, positive); (makanan, murah, positive); (makanan, lumayan lama sampainya, negative); (wc nya, agak seram, negative); (wc nya, kotor, negative); (posisi, nyaman, positive)
9 | kamar sangat kotor kamar mandi kotor berdebu banyak banget baru 10 menit di kamar langsung pindah hotel . | (kamar, sangat kotor, negative); (kamar mandi, kotor berdebu, negative)
10 | suka sekali . hotel tempat kami menginap pelayanan ramah , sangat tanggap . hotelnya luar biasa memuaskan . bersih bagus dan sungguh nyaman . pasti akan kembali menginap kalau kelombok lagi . pastinya dengan airy liburan kemana saja selalu memuaskan . terimakasih airy . | (hotel tempat, suka sekali, positive); (pelayanan, ramah, positive); (hotelnya, luar biasa memuaskan, positive); (hotelnya, bersih, positive); (hotelnya, bagus, positive); (hotelnya, sungguh nyaman, positive)
11 | bangunan yang baru jadi pasti trasa nyaman . fasilitas juga ada pool yang cukup besar dan bersih . tetapi sayang lokasinya yang sedikit ke dalam , kalau cari makanan di malam hari agak susah . jadi harus pakai aplikasi atau pesan ke pihak pengelola hotelnya . | (pool, cukup besar, positive); (pool, bersih, positive)
12 | tempat bersih , harga sesuai , sangat cocok untuk para traveler bacpacker , tempat nyaman , tenang . | (tempat, bersih, positive); (harga, sesuai, positive); (tempat, nyaman, positive); (tempat, tenang, positive)
13 | ada harga ada rupa . mantapp sangat apalagi banyak promo nya . | 
14 | sangat nyaman dan murah dan betah disana . | 
15 | kmi sangat puass dan tidak menyesal , sesuai dengan ekspetasi yang kmi harapkan . | 
16 | sangat kecewa , wc nya kotor banget , tidak layak pakai dan tv runyem , dan tidak ada makanan snack nya dan gaada paket sabun , samponya . | (wc nya, kotor banget, negative); (wc nya, tidak layak pakai, negative); (tv, runyem, negative); (makanan snack nya, tidak ada, negative); (paket sabun, gaada, negative); (samponya, gaada, negative)
17 | sangat nyaman dan bagus . | 
18 | kamar nyaman , bersih , dan karyawannya ramah " dan baik " . tetapi sayang tidak kedap suara jadi agak bising karena suara kendaraan kencang . tetapi rekomen banget deh . | (kamar, nyaman, positive); (kamar, bersih, positive); (karyawannya, ramah, positive); (karyawannya, baik, positive)
19 | kamar nyaman , bersih , dan karyawannya ramah " dan baik " . tetapi sayang tidak kedap suara jadi agak bising karena suara kendaraan kencang . tetapi rekomen banget deh . | (kamar, nyaman, positive); (kamar, bersih, positive); (karyawannya, ramah, positive); (karyawannya, baik, positive)
20 | nyaman banget . walau roomnya ada di atas . | 
21 | lumayan . sesuai harga murah neriah . | (harga, murah, positive)
22 | kamarnya bersih , nyaman , ac nya dingin , sarapannya juga enak . dan sangat rekomended untuk liburan . | (kamarnya, bersih, positive); (kamarnya, nyaman, positive); (ac nya, dingin, positive); (sarapannya, enak, positive)
23 | cukup memuaskan , hanya tv yang agak mengecewakan . | (tv, agak mengecewakan, negative)
24 | hotel lama , kunci keycard rusak dan pintu wc sehingga tidak bisa ditutup . tetapi pelayanan secara keseluruhan dari airy tetap memuaskan . terimakasih . | (hotel, lama, negative); (kunci keycard, rusak, negative); (pintu wc, rusak, negative); (pintu wc, tidak bisa ditutup, negative); (pelayanan secara keseluruhan, memuaskan, positive)
