idx,text,all_labels,all_preds,all_fixed_preds,matching_comments
0,"pelayanan ramah , kamar nyaman dan fasilitas lengkap . hanya airnya showernya kurang panas .","('airnya showernya', 'kurang panas', 'negatif')","('air showernya', 'kurang panas', 'negatif')","(', showernya', 'kurang panas', 'negatif')",Different Aspect Term
5,"room bersih tetapi sayang linen kotor , bekas ada spot , kamar mandi bau , handuk sudah waktunya di ganti karena warnanya putih kehitaman , wifi susah ( sinyal ada tetapi tidak mau terhubung ) .","('handuk', 'putih kehitaman', 'negatif')","('handuk', 'kehitaman', 'negatif')","('handuk', 'kehitaman', 'negatif')",Different Sentiment Term
5,"room bersih tetapi sayang linen kotor , bekas ada spot , kamar mandi bau , handuk sudah waktunya di ganti karena warnanya putih kehitaman , wifi susah ( sinyal ada tetapi tidak mau terhubung ) .","('linen', 'bekas ada spot', 'negatif')","('handuk', 'sudah waktunya di ganti', 'negatif')","('handuk', 'sudah waktunya di ganti', 'negatif')",Subset aspect/sentiment
5,"room bersih tetapi sayang linen kotor , bekas ada spot , kamar mandi bau , handuk sudah waktunya di ganti karena warnanya putih kehitaman , wifi susah ( sinyal ada tetapi tidak mau terhubung ) .","('sinyal', 'ada', 'positif')",-,-,Not Generated
5,"room bersih tetapi sayang linen kotor , bekas ada spot , kamar mandi bau , handuk sudah waktunya di ganti karena warnanya putih kehitaman , wifi susah ( sinyal ada tetapi tidak mau terhubung ) .","('sinyal', 'tidak mau terhubung', 'negatif')",-,-,Not Generated
12,acnya kurang dingin dan tv channel rata ngilang .,"('tv channel', 'ngilang', 'negatif')","('tv channel', 'rata ngilang', 'negatif')","('tv channel', 'rata ngilang', 'negatif')",Different Sentiment Term
13,"enak banget dapat sarapan , tetapi wifinya kurang kencang .","('sarapan', 'enak banget dapat', 'positif')","('sarapan', 'dapat', 'positif')","('sarapan', 'dapat', 'positif')",Different Sentiment Term
14,"pelayanan baik namun berkesan kotor , terutama pada lobi masingmasing lantai dan koridornya .","('koridornya', 'kotor', 'negatif')","('pelayanan', 'berkesan kotor', 'negatif')","('pelayanan', 'berkesan kotor', 'negatif')",Subset aspect/sentiment
14,"pelayanan baik namun berkesan kotor , terutama pada lobi masingmasing lantai dan koridornya .","('lobi', 'kotor', 'negatif')",-,-,Not Generated
16,kamar kurang terawat tetapi bagus lah pakai stay transit .,"('stay transit', 'bagus', 'positif')","('kamar', 'bagus', 'positif')","('kamar', 'bagus', 'positif')",Different Aspect Term
18,"lokasi bagus tengah kota . kamar bersih hanya saja kamar mandi bau busuk , makanan biasa saja staf recepsionis tidak ramah , akses internet tidak ada dan kamar lantai 3 tidak ada lift .","('akses internet', 'tidak ada', 'negatif')",-,-,Not Generated
18,"lokasi bagus tengah kota . kamar bersih hanya saja kamar mandi bau busuk , makanan biasa saja staf recepsionis tidak ramah , akses internet tidak ada dan kamar lantai 3 tidak ada lift .","('makanan', 'biasa', 'negatif')","('makanan', 'biasa saja', 'negatif')","('makanan', 'biasa saja', 'negatif')",Different Sentiment Term
19,"hotel bersih , walaupun hotel lama , dan dari luar dekorasinya agak tua dan creepy , tetapi oke kok pas m .","('hotel', 'lama', 'negatif')",-,-,Not Generated
19,"hotel bersih , walaupun hotel lama , dan dari luar dekorasinya agak tua dan creepy , tetapi oke kok pas m .","('hotel', 'oke', 'positif')","('kolam', 'oke', 'positif')","('lama', 'oke', 'positif')",Different Aspect Term
23,"seprai sama sarung bantal tidak diganti , air bau , kamar tidak ada jendela .","('jendela', 'tidak ada', 'negatif')","('kamar', 'tidak ada jendela', 'negatif')","('kamar', 'tidak ada jendela', 'negatif')",Subset aspect/sentiment
25,tempat yang baik hanya wifi sedang rusak waktu saat menginap .,"('wifi', 'rusak', 'negatif')","('wifi', 'sedang rusak', 'negatif')","('wifi', 'sedang rusak', 'negatif')",Different Sentiment Term
27,"langit di kamar masih ada sarang labalaba , shower kurang bagus .","('langit di kamar', 'ada sarang labalaba', 'negatif')","('langit', 'ada sarang labalaba', 'negatif')","('langit', 'ada sarang labalaba', 'negatif')",Different Aspect Term
31,"karyawannya friendly kost nya cukup dekat dengan jalan raya , transportasi mudah untuk pergi kemanakemana . tetapi untuk kamarnya belum bersih ada bantal guling yang bau ada di dalam lemari tidak dibersihkan .","('bantal guling', 'tidak dibersihkan', 'negatif')","('lemari', 'tidak dibersihkan', 'negatif')","('lemari', 'tidak dibersihkan', 'negatif')",Different Aspect Term
31,"karyawannya friendly kost nya cukup dekat dengan jalan raya , transportasi mudah untuk pergi kemanakemana . tetapi untuk kamarnya belum bersih ada bantal guling yang bau ada di dalam lemari tidak dibersihkan .","('jalan raya', 'cukup dekat', 'positif')",-,-,Not Generated
31,"karyawannya friendly kost nya cukup dekat dengan jalan raya , transportasi mudah untuk pergi kemanakemana . tetapi untuk kamarnya belum bersih ada bantal guling yang bau ada di dalam lemari tidak dibersihkan .","('transportasi', 'mudah', 'positif')",-,-,Not Generated
34,"sulit mendapatkan sabun untuk mandi , pemilik suka hilanghilangan .","('pemilik', 'suka hilanghilangan', 'negatif')",-,-,Not Generated
35,"tempatnya strategis , pelayanannya baik , nyaman dan lengkap .",-,"('pelayanannya', 'lengkap', 'positif')","('pelayanannya', 'lengkap', 'positif')",No Label Matched
35,"tempatnya strategis , pelayanannya baik , nyaman dan lengkap .",-,"('pelayanannya', 'nyaman', 'positif')","('pelayanannya', 'nyaman', 'positif')",No Label Matched
36,"cocok untuk keluarga , seperti layaknya guest house , bersih .",-,"('guest house', 'bersih', 'positif')","('guest house', 'bersih', 'positif')",No Label Matched
38,"overall bagus semua , recomended lah pokoknya .",-,"('overall', 'recomended', 'positif')","('overall', 'recomended', 'positif')",No Label Matched
