kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil . | (ac, tidak berfungsi optimal, negative); (wifi koneksi, kurang stabil, negative)
tempatnya bagus . kolam renangnya bersih . | (tempatnya, bagus, positive); (kolam renangnya, bersih, positive)
oke banget , tetapi ac nya tidak bisa diatur suhu nya . | (ac nya, tidak bisa diatur, negative)
pintu geser kurang rapat . | (pintu geser, kurang rapat, negative)
keren . nyaman semuanya . | (semuanya, nyaman, positive)
tidak dapat snack . setelah di keluhan , baru dikasik snacknya . | (snack, tidak dapat, negative)
pelayanan lumayan baik . | (pelayanan, lumayan baik, positive)
overall bagus . terjangkau . kapan kapam inap di airy room lagi deh . | (overall, bagus, positive)
pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama . | (pelayanan mas nya, sangat baik, positive); (pelayanan mas nya, membantu, positive); (pelayanan mas nya, ramah, positive); (pelayanan mas nya, komunikatif, positive); (kamar, sangat bersih, positive); (kamar mandi, sangat baik, positive); (air panasnya, tidak bisa lama, negative)
airyroom ini sangat mengecewakan dalam hal layanan dan kebersihan kamar . | (layanan, sangat mengecewakan, negative); (kebersihan kamar, sangat mengecewakan, negative)
agak perlu dibersihkan . kamar banyak semut . | (kamar, agak perlu dibersihkan, negative); (kamar, banyak semut, negative)
pelayanan sangat buruk . mohon diperbaiki . | (pelayanan, sangat buruk, negative)
pelayanan nya sangat ramah . | (pelayanan nya, sangat ramah, positive)
kamarnya oke . | (kamarnya, oke, positive)
saya sampai sanur itu sekitar pukul 20.00 wita mutermuter cari hotel ini , sampai telepon ke cs pun tidak cukup membantu kami menemukan hotel ini , kami tanya orang sekitar pun tidak ada yang tahu dimana ananda beach hotel ini . alamat tidak akurat sama sekali ! | (cs, tidak cukup membantu, negative); (alamat, tidak akurat, negative)
recomended , hotel dengan price murah tetapi fasilitas oke punya . makanannya juga oke , pelayanan oke , bapak . | (price, murah, positive); (fasilitas, oke, positive); (makanannya, oke, positive); (pelayanan, oke, positive)
sayang wifi tidak bagus harus keluar kamar . | (wifi, tidak bagus, negative)
fasilitas lengkap . dapat snack juga dari airy . terimakasih airy . | (fasilitas, lengkap, positive); (snack, dapat, positive)
fasilitas parkiran agar disediakan . | 
pelayanan nya sangat bagus . kamar nya juga oke . | (pelayanan nya, sangat bagus, positive); (kamar nya, oke, positive)
kamar cukup luas , interior menarik dan unik sekali , penempatan furniture tepat , suka banget dengan kamar mandinya , walpaper kamar beragam , pencahayaan dibuat dramatis , tidak terlalu terang tetapi baguss . hanya saja tidak tersedia sarapan , naik ke lantai 1 dengan tangga , lift tidak berfungsi . | (kamar, cukup luas, positive); (interior, menarik, positive); (interior, unik sekali, positive); (kamar mandinya, suka banget, positive); (pencahayaan, dramatis, positive); (pencahayaan, tidak terlalu terang, neutral); (pencahayaan, baguss, negative); (sarapan, tidak tersedia, negative); (lift, tidak berfungsi, negative)
