id,sents,expr,polarity,labels,target_repr,completed_labels,completed_target_repr,checkpoint
2,"oke banget , tetapi ac nya tidak bisa diatur suhu nya .",oke banget,POS,"([-1], [0, 1], ","(hotel, oke banget, ","([-1], [0, 1], 'POS')","(hotel, oke banget, positif)",TRUE
4,keren . nyaman semuanya .,keren,POS,"([-1], [0], ","(hotel, keren, ","([-1], [0], 'POS')","(hotel, keren, positif)",TRUE
7,overall bagus . terjangkau . kapan kapam inap di airy room lagi deh .,terjangkau,POS,"([-1], [3], ","(hotel, terjangkau, ","([-1], [3], 'POS')","(hotel, terjangkau, positif)",TRUE
11,pelayanan sangat buruk . mohon diperbaiki .,mohon diperbaiki,NEG,"([-1], [4, 5], ","(hotel, mohon diperbaiki, ","([-1], [4, 5], 'NEG')","(hotel, mohon diperbaiki, negatif)",TRUE
15,"recomended , hotel dengan price murah tetapi fasilitas oke punya . makanannya juga oke , pelayanan oke , bapak .",recomended,POS,"([-1], [0], ","(hotel, recomended, ","([-1], [0], 'POS')","(hotel, recomended, positif)",TRUE
21,"lokasi strategis harga terjangkau bangunan lama memang , tetapi dengan harga yang terjangkau dan lokasi tengah kota sangat worthy dan sudah 3x ini menginap di sini wifi kencang dapat sarapan pula , menu homey tetapi tasty keamanan 24jam ramahramah overall bagus .",sangat worthy,POS,"([-1], [17, 18], ","(hotel, sangat worthy, ","([-1], [17, 18], 'POS')","(hotel, sangat worthy, positif)",TRUE
21,"lokasi strategis harga terjangkau bangunan lama memang , tetapi dengan harga yang terjangkau dan lokasi tengah kota sangat worthy dan sudah 3x ini menginap di sini wifi kencang dapat sarapan pula , menu homey tetapi tasty keamanan 24jam ramahramah overall bagus .",ramahramah,POS,"([-1], [38], ","(hotel, ramahramah, ","([-1], [38], 'POS')","(hotel, ramahramah, positif)",TRUE
32,"kamar bersih , kasur bersih ( aku paling cepat bereaksi kalau ada tungau walau cma sedikit ) , 24 jam petugasnya siap sedia buat bantuin . top deh !",top,POS,"([-1], [26], ","(hotel, top, ","([-1], [26], 'POS')","(hotel, top, positif)",TRUE
33,"bersih , rapi , tetapi properti nya kurang diperlengkapi , kurang nyaman juga karena banyak kebisingan , apalagi dari ruangan aula nya karena ada acara .",bersih,POS,"([-1], [0], ","(hotel, bersih, ","([-1], [0], 'POS')","(hotel, bersih, positif)",TRUE
33,"bersih , rapi , tetapi properti nya kurang diperlengkapi , kurang nyaman juga karena banyak kebisingan , apalagi dari ruangan aula nya karena ada acara .",rapi,POS,"([-1], [2], ","(hotel, rapi, ","([-1], [2], 'POS')","(hotel, rapi, positif)",TRUE
36,"begitu masuk pertama , kesan yang diterima adalah jorok . mohon maaf , ada kotoran ( eek ) masih melekat di bibir kloset . seperti tidak dibersihkan . kemudian semakin malam , banyak kecoak bermunculan , awalnya saya baca review dari app tetangga yang bilang banyak kecoak , saya tidak percaya . tetapi begitu mengalami sendiri , sangat horor , tidur jadi tidak nyenyak .",jorok,NEG,"([-1], [8], ","(hotel, jorok, ","([-1], [8], 'NEG')","(hotel, jorok, negatif)",TRUE
42,"bagus bersih nyaman , cuma tempat terlalu kedalam .",bagus,POS,"([-1], [0], ","(hotel, bagus, ","([-1], [0], 'POS')","(hotel, bagus, positif)",TRUE
42,"bagus bersih nyaman , cuma tempat terlalu kedalam .",bersih,POS,"([-1], [1], ","(hotel, bersih, ","([-1], [1], 'POS')","(hotel, bersih, positif)",TRUE
42,"bagus bersih nyaman , cuma tempat terlalu kedalam .",nyaman,POS,"([-1], [2], ","(hotel, nyaman, ","([-1], [2], 'POS')","(hotel, nyaman, positif)",TRUE
43,"mantap , lokasi strategis , ke tanah abang bisa jalan kaki . cuma karena tempat tidur diatas agak ngerih , bunyibunyi takut jatuh hai .",mantap,POS,"([-1], [0], ","(hotel, mantap, ","([-1], [0], 'POS')","(hotel, mantap, positif)",TRUE
48,"lumayan bersih tetapi lantainya tidak rata karena kurang semen di bawah nya , jadi menyebabkan pecah "" .",lumayan bersih,POS,"([-1], [0, 1], ","(hotel, lumayan bersih, ","([-1], [0, 1], 'POS')","(hotel, lumayan bersih, positif)",TRUE
53,"hotel yang berbasis syariah , sangat baik untuk business traveler karena berada di tengah kota dengan rate yang wajar , wifi yang disediakan tidak hanya sebagai syarat ada wifi saja namun kecepatan yang diberikan sangat baik .",sangat baik,POS,"([0], [5, 6], ","(hotel, sangat baik, ","([0], [5, 6], 'POS')","(hotel, sangat baik, positif)",TRUE
54,"kamar bersih , nyaman sekali , csnya ramah mantaplah , dan daerahnya tenang .",tenang,POS,"([-1], [12], ","(hotel, tenang, ","([-1], [12], 'POS')","(hotel, tenang, positif)",TRUE
56,"nyaman . dapat snack , hanya saja dikasih lantai 3 .",nyaman,POS,"([-1], [0], ","(hotel, nyaman, ","([-1], [0], 'POS')","(hotel, nyaman, positif)",TRUE
63,"kamar airy terburuk yang pernah saya singgahi , kamar bau , tidak wifi , sinyal tidak bisa masuk kamar , toilet buruk , pulangpulang dikira ambil bantal airy padahal memang tidak ada bantal airy tidak recomended , nyesal menginap disini .",tidak recomended,NEG,"([-1], [34, 35], ","(hotel, tidak recomended, ","([-1], [34, 35], 'NEG')","(hotel, tidak recomended, negatif)",TRUE
63,"kamar airy terburuk yang pernah saya singgahi , kamar bau , tidak wifi , sinyal tidak bisa masuk kamar , toilet buruk , pulangpulang dikira ambil bantal airy padahal memang tidak ada bantal airy tidak recomended , nyesal menginap disini .",nyesal,NEG,"([38], [37], ","(hotel, nyesal, ","([38], [37], 'NEG')","(hotel, nyesal, negatif)",TRUE
68,"saya booking 2kmr hari sabtu , air mati sehingga tidak bisa mandi maupun untuk urusan kamar kecil . kamar mandi sangat kotor . ranjang baik , kebersihan kamar lumayan . prncahayaan ruangan kirang lampu .",kecil,-,"([-1], [16], ","(hotel, kecil, ","([-1], [16], '-')",#N/A,FALSE
77,"tidak sesuai dengan gambar dan tampilan di foto , semua fasilitas sudah tua , wc kotor .",tidak sesuai dengan gambar,NEG,"([-1], [0, 1, 2, 3], ","(hotel, tidak sesuai dengan gambar, ","([-1], [0, 1, 2, 3], 'NEG')","(hotel, tidak sesuai dengan gambar, negatif)",TRUE
86,"lumayan , yang kurang cuma chanel tv , snack , sama alat mandi nya saja . selebihnya bagus .",lumayan,POS,"([-1], [0], ","(hotel, lumayan, ","([-1], [0], 'POS')","(hotel, lumayan, positif)",TRUE
89,baik . penjaga ramah . strategis ke mana mana .,baik,POS,"([-1], [0], ","(hotel, baik, ","([-1], [0], 'POS')","(hotel, baik, positif)",TRUE
89,baik . penjaga ramah . strategis ke mana mana .,strategis,POS,"([-1], [5], ","(hotel, strategis, ","([-1], [5], 'POS')","(hotel, strategis, positif)",TRUE
90,"bersih , nyaman , kamar luas , ada snack , toiletries juga oke .",bersih,POS,"([-1], [0], ","(hotel, bersih, ","([-1], [0], 'POS')","(hotel, bersih, positif)",TRUE
90,"bersih , nyaman , kamar luas , ada snack , toiletries juga oke .",nyaman,POS,"([-1], [2], ","(hotel, nyaman, ","([-1], [2], 'POS')","(hotel, nyaman, positif)",TRUE
91,pelayanan ramah dan cepat . kondisi kamar nyaman . responsif dan mudah .,responsif,POS,"([-1], [9], ","(hotel, responsif, ","([-1], [9], 'POS')","(hotel, responsif, positif)",TRUE
91,pelayanan ramah dan cepat . kondisi kamar nyaman . responsif dan mudah .,mudah,POS,"([-1], [11], ","(hotel, mudah, ","([-1], [11], 'POS')","(hotel, mudah, positif)",TRUE
92,"oke saja , tetapi ac nya berisik banget sudah .",oke,POS,"([-1], [0], ","(hotel, oke, ","([-1], [0], 'POS')","(hotel, oke, positif)",TRUE
99,"suka sekali . hotel tempat kami menginap pelayanan ramah , sangat tanggap . hotelnya luar biasa memuaskan . bersih bagus dan sungguh nyaman . pasti akan kembali menginap kalau kelombok lagi . pastinya dengan airy liburan kemana saja selalu memuaskan . terimakasih airy .",sangat tanggap,POS,"([7], [10, 11], ","(hotel, sangat tanggap, ","([7], [10, 11], 'POS')","(hotel, sangat tanggap, positif)",TRUE
108,kecil tetapi nyaman . pelayanan cukup oke .,kecil,NEG,"([-1], [0], ","(hotel, kecil, ","([-1], [0], 'NEG')","(hotel, kecil, negatif)",TRUE
108,kecil tetapi nyaman . pelayanan cukup oke .,nyaman,POS,"([-1], [2], ","(hotel, nyaman, ","([-1], [2], 'POS')","(hotel, nyaman, positif)",TRUE
116,"bagus wih , lokasi oke banget dekat kemanakemana , tetapi tidak terlalu berisik . kamar luas tetapi ac tidak dingin .",bagus,POS,"([-1], [0], ","(hotel, bagus, ","([-1], [0], 'POS')","(hotel, bagus, positif)",TRUE
123,pintu kamar mandi tidak bisa dikunci . acnya gadingin . ada kecoaknya .,ada kecoaknya,NEG,"([-1], [10, 11], ","(hotel, ada kecoaknya, ","([-1], [10, 11], 'NEG')","(hotel, ada kecoaknya, negatif)",TRUE
125,"nyaman , bersih , tv saja yang kurang bagus tidak ada yang bisa ditonton dengan jelas . ac dingin .",nyaman,POS,"([-1], [0], ","(hotel, nyaman, ","([-1], [0], 'POS')","(hotel, nyaman, positif)",TRUE
125,"nyaman , bersih , tv saja yang kurang bagus tidak ada yang bisa ditonton dengan jelas . ac dingin .",bersih,POS,"([-1], [2], ","(hotel, bersih, ","([-1], [2], 'POS')","(hotel, bersih, positif)",TRUE
127,"bersih , rapi , suasana tenang dan nyaman .",bersih,POS,"([-1], [0], ","(hotel, bersih, ","([-1], [0], 'POS')","(hotel, bersih, positif)",TRUE
127,"bersih , rapi , suasana tenang dan nyaman .",rapi,POS,"([-1], [2], ","(hotel, rapi, ","([-1], [2], 'POS')","(hotel, rapi, positif)",TRUE
136,"bangunan yang baru jadi pasti trasa nyaman . fasilitas juga ada pool yang cukup besar dan bersih . tetapi sayang lokasinya yang sedikit ke dalam , kalau cari makanan di malam hari agak susah . jadi harus pakai aplikasi atau pesan ke pihak pengelola hotelnya .",nyaman,POS,"([-1], [6], ","(hotel, nyaman, ","([-1], [6], 'POS')","(hotel, nyaman, positif)",TRUE
141,"kamarnya tidak bersih , seprainya juga seperti tidak meyakinkan begitu , not recomended .",not recomended,NEG,"([-1], [11, 12], ","(hotel, not recomended, ","([-1], [11, 12], 'NEG')","(hotel, not recomended, negatif)",TRUE
148,"tempat bersih , harga sesuai , sangat cocok untuk para traveler bacpacker , tempat nyaman , tenang .",sangat cocok,POS,"([-1], [6, 7], ","(hotel, sangat cocok, ","([-1], [6, 7], 'POS')","(hotel, sangat cocok, positif)",TRUE
152,"baik , staf ramah .",baik,POS,"([-1], [0], ","(hotel, baik, ","([-1], [0], 'POS')","(hotel, baik, positif)",TRUE
154,"sebenarnya sudah terlihat bersih , tetapi mengapa banyak semut di meja dan di tempat tidur , membuat tidak nyaman sekali .",bersih,POS,"([-1], [3], ","(hotel, bersih, ","([-1], [3], 'POS')","(hotel, bersih, positif)",TRUE
