idx,sents,triples,filename
1,tidak terlalu jauh dari pusat kota .,[],/kaggle/working/sus-res-type2/figures/figures-1.png
3,"kondisinya cukup baik , hanya dapatnya tempat yang paling atas sehingga lumayan juga pas membawa travel bag . karena tanpa ada lift .","[(['kondisinya'], ['cukup', 'baik'], 'PO'), (['lift'], ['ada'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-3.png
6,"air hangat di bathroom tidak berfungsi , sudah complain tetapi tidak ada solusi , malam dan pagi mandi a .","[(['air', 'hangat'], ['tidak', 'berfungsi'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-6.png
7,"hotelnya seperti kurang terawat , baik exterior maupun interior . tolong diperbaiki lagi . terimakasih .","[(['hotelnya'], ['kurang', 'terawat'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-7.png
8,"baik , tetapi sudah tidak diadakan di aplikasi airy .",[],/kaggle/working/sus-res-type2/figures/figures-8.png
9,"bantal keras dan tebal , gorden tidak bisa ditutup rapat , tidak ada air panas , keran rusak . tidak ada westafle . selimut kecil . dari luar , tidak seperti hotel . seperti kost . resepsionis berantakan . kalau room seperti ini paling tidak harga 120k . terimakasih .","[(['bantal'], ['keras'], 'PO'), (['bantal'], ['tebal'], 'PO'), (['gorden'], ['tidak', 'bisa', 'ditutup', 'rapat'], 'NG'), (['westafle'], ['tidak', 'ada'], 'NG'), (['selimut'], ['kecil'], 'NG'), (['resepsionis'], ['berantakan'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-9.png
14,"pelayanan baik namun berkesan kotor , terutama pada lobi masingmasing lantai dan koridornya .","[(['pelayanan'], ['baik'], 'PO'), (['pelayanan'], ['berkesan', 'kotor'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-14.png
15,baguss . pelayanan puas . sarapan enak .,"[(['pelayanan'], ['puas'], 'PO'), (['sarapan'], ['enak'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-15.png
16,kamar kurang terawat tetapi bagus lah pakai stay transit .,"[(['kamar'], ['kurang', 'terawat'], 'NG'), (['kamar'], ['bagus'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-16.png
31,"karyawannya friendly kost nya cukup dekat dengan jalan raya , transportasi mudah untuk pergi kemanakemana . tetapi untuk kamarnya belum bersih ada bantal guling yang bau ada di dalam lemari tidak dibersihkan .","[(['karyawannya'], ['friendly'], 'PO'), (['transportasi'], ['mudah'], 'PO'), (['kamarnya'], ['belum', 'bersih'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-31.png
42,"lantai kamar mandi licin , tidak disediakan shower cap , pintu kamar mandi gagangnya berat/sulit diputar khawatir tidak bisa dibuka/terkunci dari dalam , alangkah baiknya disediakan petunjuk arah kiblat di dalam kamar .","[(['lantai', 'kamar', 'mandi'], ['licin'], 'NG'), (['shower', 'cap'], ['tidak', 'disediakan'], 'NG'), (['pintu', 'kamar', 'mandi', 'gagangnya'], ['berat/sulit'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-42.png
45,"hmm tidak sesuai ekpektasi , bangunan lama dan kurang bersih , kamar mandinya airnya mengalir terus , jadi berisik , tv masih tabung , kecewa sih untuk di harga itu tetapi fasilitas seperti itu , sarapannya juga tidak banyak pilihan , pas mau makan sudah dingin recepsionis tidak ramah .","[(['bangunan'], ['kurang', 'bersih'], 'NG'), (['sarapannya'], ['tidak', 'banyak', 'pilihan'], 'NG'), (['recepsionis'], ['tidak', 'ramah'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-45.png
56,"dengan harga segitu , bisa dapat kamar penginapan yang full fasilitas . mulai air hangat , ac , dan tv dengan saluran lengkap .","[(['saluran'], ['lengkap'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-56.png
58,"pelayanan mantap , suasana nya nyaman , bisa bermain dengan keluarga dan anak , untuk kedepannya tolong lebih bersih lagi ruangan kamarnya , termasuk kamar mandi nya .","[(['pelayanan'], ['mantap'], 'PO'), (['suasana', 'nya'], ['nyaman'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-58.png
