idx,text,all_labels,all_preds,all_fixed_preds,matching_comments
51,bersih nyaman aman .,"('hotel', 'aman', 'positif')","('hotel', 'bersih nyaman aman', 'positif')","('hotel', 'bersih nyaman aman', 'positif')",Different Sentiment Term
51,bersih nyaman aman .,"('hotel', 'bersih', 'positif')",-,-,Not Generated
51,bersih nyaman aman .,"('hotel', 'nyaman', 'positif')",-,-,Not Generated
152,bersih nyaman mudah ditemukan .,"('hotel', 'bersih', 'positif')","('hotel', 'bersih nyaman', 'positif')","('hotel', 'bersih nyaman', 'positif')",Different Sentiment Term
152,bersih nyaman mudah ditemukan .,"('hotel', 'nyaman', 'positif')",-,-,Not Generated
156,"bagus nyaman beraih rapi wangi , top banget .","('hotel', 'bagus', 'positif')","('hotel', 'bagus nyaman beraih', 'positif')","('hotel', 'bagus nyaman beraih', 'positif')",Different Sentiment Term
156,"bagus nyaman beraih rapi wangi , top banget .","('hotel', 'nyaman', 'positif')","('hotel', 'rapi', 'positif')","('hotel', 'rapi', 'positif')",Different Sentiment Term
156,"bagus nyaman beraih rapi wangi , top banget .","('hotel', 'rapi wangi', 'positif')","('hotel', 'wangi', 'positif')","('hotel', 'wangi', 'positif')",Different Sentiment Term
156,"bagus nyaman beraih rapi wangi , top banget .","('hotel', 'top banget', 'positif')",-,-,Not Generated
239,"tidak ada , bagus saya nyaman .",-,"('hotel', 'tidak ada', 'negatif')","('hotel', 'tidak ada', 'negatif')",No Label Matched
273,agak bau rokok : ) .,"('hotel', ':', 'positif')","('hotel', 'agak bau rokok', 'negatif')","('hotel', 'agak bau rokok', 'negatif')",No Label Matched
291,saya memesan 2 kamar . twin dan double room .,-,"('kamar', 'memesan', 'positif')","('kamar', 'memesan', 'positif')",No Label Matched
317,dekat banget sama tempat pemberlanjaan .,-,"('hotel', 'dekat banget', 'positif')","('hotel', 'dekat banget', 'positif')",No Label Matched
