id,sents,expr,polarity,labels,target_repr
2,"oke banget , tetapi ac nya tidak bisa diatur suhu nya .",oke banget,-,"([-1], [0, 1], ","(hotel, oke banget, "
4,keren . nyaman semuanya .,keren,-,"([-1], [0], ","(hotel, keren, "
7,overall bagus . terjangkau . kapan kapam inap di airy room lagi deh .,terjangkau,-,"([-1], [3], ","(hotel, terjangkau, "
11,pelayanan sangat buruk . mohon diperbaiki .,mohon diperbaiki,-,"([-1], [4, 5], ","(hotel, mohon diperbaiki, "
15,"recomended , hotel dengan price murah tetapi fasilitas oke punya . makanannya juga oke , pelayanan oke , bapak .",recomended,-,"([-1], [0], ","(hotel, recomended, "
21,"lokasi strategis harga terjangkau bangunan lama memang , tetapi dengan harga yang terjangkau dan lokasi tengah kota sangat worthy dan sudah 3x ini menginap di sini wifi kencang dapat sarapan pula , menu homey tetapi tasty keamanan 24jam ramahramah overall bagus .",sangat worthy,-,"([-1], [17, 18], ","(hotel, sangat worthy, "
21,"lokasi strategis harga terjangkau bangunan lama memang , tetapi dengan harga yang terjangkau dan lokasi tengah kota sangat worthy dan sudah 3x ini menginap di sini wifi kencang dapat sarapan pula , menu homey tetapi tasty keamanan 24jam ramahramah overall bagus .",ramahramah,-,"([-1], [38], ","(hotel, ramahramah, "
32,"kamar bersih , kasur bersih ( aku paling cepat bereaksi kalau ada tungau walau cma sedikit ) , 24 jam petugasnya siap sedia buat bantuin . top deh !",top,-,"([-1], [26], ","(hotel, top, "
33,"bersih , rapi , tetapi properti nya kurang diperlengkapi , kurang nyaman juga karena banyak kebisingan , apalagi dari ruangan aula nya karena ada acara .",bersih,-,"([-1], [0], ","(hotel, bersih, "
33,"bersih , rapi , tetapi properti nya kurang diperlengkapi , kurang nyaman juga karena banyak kebisingan , apalagi dari ruangan aula nya karena ada acara .",rapi,-,"([-1], [2], ","(hotel, rapi, "
36,"begitu masuk pertama , kesan yang diterima adalah jorok . mohon maaf , ada kotoran ( eek ) masih melekat di bibir kloset . seperti tidak dibersihkan . kemudian semakin malam , banyak kecoak bermunculan , awalnya saya baca review dari app tetangga yang bilang banyak kecoak , saya tidak percaya . tetapi begitu mengalami sendiri , sangat horor , tidur jadi tidak nyenyak .",jorok,-,"([-1], [8], ","(hotel, jorok, "
42,"bagus bersih nyaman , cuma tempat terlalu kedalam .",bagus,-,"([-1], [0], ","(hotel, bagus, "
42,"bagus bersih nyaman , cuma tempat terlalu kedalam .",bersih,-,"([-1], [1], ","(hotel, bersih, "
42,"bagus bersih nyaman , cuma tempat terlalu kedalam .",nyaman,-,"([-1], [2], ","(hotel, nyaman, "
43,"mantap , lokasi strategis , ke tanah abang bisa jalan kaki . cuma karena tempat tidur diatas agak ngerih , bunyibunyi takut jatuh hai .",mantap,-,"([-1], [0], ","(hotel, mantap, "
48,"lumayan bersih tetapi lantainya tidak rata karena kurang semen di bawah nya , jadi menyebabkan pecah "" .",lumayan bersih,-,"([-1], [0, 1], ","(hotel, lumayan bersih, "
53,"hotel yang berbasis syariah , sangat baik untuk business traveler karena berada di tengah kota dengan rate yang wajar , wifi yang disediakan tidak hanya sebagai syarat ada wifi saja namun kecepatan yang diberikan sangat baik .",sangat baik,-,"([-1], [5, 6], ","(hotel, sangat baik, "
54,"kamar bersih , nyaman sekali , csnya ramah mantaplah , dan daerahnya tenang .",tenang,-,"([-1], [12], ","(hotel, tenang, "
56,"nyaman . dapat snack , hanya saja dikasih lantai 3 .",nyaman,-,"([-1], [0], ","(hotel, nyaman, "
63,"kamar airy terburuk yang pernah saya singgahi , kamar bau , tidak wifi , sinyal tidak bisa masuk kamar , toilet buruk , pulangpulang dikira ambil bantal airy padahal memang tidak ada bantal airy tidak recomended , nyesal menginap disini .",tidak recomended,-,"([-1], [34, 35], ","(hotel, tidak recomended, "
63,"kamar airy terburuk yang pernah saya singgahi , kamar bau , tidak wifi , sinyal tidak bisa masuk kamar , toilet buruk , pulangpulang dikira ambil bantal airy padahal memang tidak ada bantal airy tidak recomended , nyesal menginap disini .",nyesal,-,"([-1], [37], ","(hotel, nyesal, "
68,"saya booking 2kmr hari sabtu , air mati sehingga tidak bisa mandi maupun untuk urusan kamar kecil . kamar mandi sangat kotor . ranjang baik , kebersihan kamar lumayan . prncahayaan ruangan kirang lampu .",kecil,-,"([-1], [16], ","(hotel, kecil, "
